C429I,60025,TENERIFE SUR AEROPUERTO,STA. CRUZ DE TENERIFE,280249N,163340W,64,1980-07-01,2022-02-02,
0016A,8175,REUS AEROPUERTO,TARRAGONA,410842N,010949E,71,1945-02-01,2022-02-02,
9987P,8240,SANT JAUME D'ENVEJA,TARRAGONA,404157N,004836E,1,1997-01-01,2019-12-03,
9981A,8238,ESTACION DE TORTOSA (ROQUETES),TARRAGONA,404913N,002936E,50,1920-01-01,2022-02-02,
0002I,8169,VANDELLOS  ,TARRAGONA,405729N,005217E,32,1968-03-01,2021-07-06,
9573X,8164,ALCANIZ,TERUEL,410329N,000830W,334,1990-01-01,2022-02-02,
9381,,CALAMOCHA,AERODROMO,TERUEL,405154N,011818W,932,1942-01-01,1985-06-30
9381I,8233,CALAMOCHA,TERUEL,405534N,011736W,890,1992-08-01,2022-02-02,
9569A,8166,CALANDA,TERUEL,405648N,001416W,466,1990-04-01,2022-02-02,
8368U,8235,TERUEL,TERUEL,402102N,010727W,900,1986-04-01,2022-02-02,
4067,8273,MADRIDEJOS,TOLEDO,392931N,033142W,690,1945-06-01,2022-01-31,
4061X,8275,QUINTANAR DE LA ORDEN,TOLEDO,393551N,030249W,691,2006-10-31,2022-02-02,
3298X,8270,SAN PABLO DE LOS MONTES,TOLEDO,393249N,042102W,917,2006-11-03,2022-02-02,
3365A,8274,TALAVERA DE LA REINA,TOLEDO,395731N,045149W,372,1920-01-01,2022-02-02,
3259,,TOLEDO, LORENZANA,TOLEDO,395134N,040132W,540,1920-01-01,1982-04-30
3260B,8272,TOLEDO,TOLEDO,395305N,040243W,515,1982-02-01,2022-02-02,
8058X,8282,OLIVA,VALENCIA,385544N,000545W,5,1992-06-06,2021-10-19,
8325X,8287,POLINYA DE XUQUER,VALENCIA,391105N,002219W,12,1991-02-01,2022-02-02,
8309X,8281,UTIEL,VALENCIA,393432N,011441W,758,1991-01-10,2022-02-02,
